Datetime;Value
2022-11-16T20:26;51
2022-11-16T21:26;7
2022-11-16T22:26;55
2022-11-16T23:26;41
2022-11-17T00:26;33
2022-11-17T01:26;90
2022-11-17T02:26;42
2022-11-17T03:26;24
2022-11-17T04:26;42
2022-11-17T05:26;30
2022-11-17T06:26;25
2022-11-17T07:26;29
2022-11-17T08:26;97
2022-11-17T09:26;77
2022-11-17T10:26;85
2022-11-17T11:26;67
2022-11-17T12:26;87
2022-11-17T13:26;78
2022-11-17T14:26;89
2022-11-17T15:26;3
2022-11-17T16:26;55
2022-11-17T17:26;87
2022-11-17T18:26;59
2022-11-17T19:26;8
2022-11-17T20:26;97
2022-11-17T21:26;35
2022-11-17T22:26;90
2022-11-17T23:26;53
2022-11-18T00:26;85
2022-11-18T01:26;9
2022-11-18T02:26;25
2022-11-18T03:26;57
2022-11-18T04:26;15
2022-11-18T05:26;9
2022-11-18T06:26;90
2022-11-18T07:26;80
2022-11-18T08:26;57
2022-11-18T09:26;32
2022-11-18T10:26;78
2022-11-18T11:26;60
2022-11-18T12:26;47
2022-11-18T13:26;97
2022-11-18T14:26;98
2022-11-18T15:26;6
2022-11-18T16:26;77
2022-11-18T17:26;33
2022-11-18T18:26;80
2022-11-18T19:26;8
2022-11-18T20:26;55
2022-11-18T21:26;58
2022-11-18T22:26;92
2022-11-18T23:26;95
2022-11-19T00:26;97
2022-11-19T01:26;25
2022-11-19T02:26;58
2022-11-19T03:26;66
2022-11-19T04:26;73
2022-11-19T05:26;96
2022-11-19T06:26;57
2022-11-19T07:26;43
2022-11-19T08:26;42
2022-11-19T09:26;88
2022-11-19T10:26;6
2022-11-19T11:26;22
2022-11-19T12:26;16
2022-11-19T13:26;95
2022-11-19T14:26;42
2022-11-19T15:26;63
2022-11-19T16:26;75
2022-11-19T17:26;52
2022-11-19T18:26;5
2022-11-19T19:26;51
2022-11-19T20:26;81
2022-11-19T21:26;11
2022-11-19T22:26;47
2022-11-19T23:26;59
2022-11-20T00:26;21
2022-11-20T01:26;21
2022-11-20T02:26;54
2022-11-20T03:26;15
2022-11-20T04:26;54
2022-11-20T05:26;68
2022-11-20T06:26;57
2022-11-20T07:26;13
2022-11-20T08:26;10
2022-11-20T09:26;64
2022-11-20T10:26;3
2022-11-20T11:26;67
2022-11-20T12:26;4
2022-11-20T13:26;62
2022-11-20T14:26;15
2022-11-20T15:26;83
2022-11-20T16:26;43
2022-11-20T17:26;43
2022-11-20T18:26;12
2022-11-20T19:26;67
2022-11-20T20:26;41
2022-11-20T21:26;9
2022-11-20T22:26;13
2022-11-20T23:26;97
